Family,Symbol,Ensembl_Gene_ID
PROSTATE,KLK3,ENSG00000142515
PROSTATE,KLK2,ENSG00000167751
PROSTATE,TMPRSS2,ENSG00000184012
PROSTATE,FOLH1,ENSG00000086205
PROSTATE,NKX3-1,ENSG00000167034
PROSTATE,HOXB13,ENSG00000159184
PROSTATE,STEAP1,ENSG00000164647
PROSTATE,STEAP2,ENSG00000157214
PROSTATE,AR,ENSG00000169083
CRC,GUCY2C,ENSG00000070019
CRC,TFF3,ENSG00000160180
CRC,CDH17,ENSG00000079112
CRC,HEPH,ENSG00000089472
CRC,SLC12A2,ENSG00000064651
CRC,EPHB2,ENSG00000133216
CRC,CEACAM5,ENSG00000105388
CRC,CEACAM6,ENSG00000086548
CRC,VIL1,ENSG00000127831
CRC,CDX2,ENSG00000165556
GASTRIC,MUC5AC,ENSG00000215182
GASTRIC,MUC6,ENSG00000184956
GASTRIC,CLDN18,ENSG00000066405
GASTRIC,TFF1,ENSG00000160182
GASTRIC,TFF2,ENSG00000160181
GASTRIC,REG4,ENSG00000134193
GASTRIC,GKN1,ENSG00000169605
GASTRIC,GKN2,ENSG00000183607
ESCA_SQ,TP63,ENSG00000073282
ESCA_SQ,SOX2,ENSG00000181449
ESCA_SQ,KRT5,ENSG00000186081
ESCA_SQ,KRT14,ENSG00000186847
ESCA_SQ,DSG3,ENSG00000134757
ESCA_SQ,PPL,ENSG00000118898
ESCA_SQ,KRT17,ENSG00000128422
ESCA_SQ,FAM83H,ENSG00000180921
SQUAMOUS,TP63,ENSG00000073282
SQUAMOUS,SOX2,ENSG00000181449
SQUAMOUS,KRT5,ENSG00000186081
SQUAMOUS,KRT14,ENSG00000186847
SQUAMOUS,DSG3,ENSG00000134757
SQUAMOUS,PPL,ENSG00000118898
SQUAMOUS,KRT17,ENSG00000128422
SQUAMOUS,CLCA2,ENSG00000137975
SQUAMOUS,KRT6A,ENSG00000205420
MESENCHYMAL,COL1A1,ENSG00000108821
MESENCHYMAL,COL1A2,ENSG00000164692
MESENCHYMAL,COL3A1,ENSG00000168542
MESENCHYMAL,DCN,ENSG00000011465
MESENCHYMAL,THBS4,ENSG00000113296
MESENCHYMAL,POSTN,ENSG00000133110
MESENCHYMAL,TAGLN,ENSG00000149591
MESENCHYMAL,ACTA2,ENSG00000107796
MESENCHYMAL,MYLK,ENSG00000065534
MESENCHYMAL,DES,ENSG00000175084
RENAL,PAX8,ENSG00000125618
RENAL,PAX2,ENSG00000075891
RENAL,CA9,ENSG00000107159
RENAL,NDUFA4L2,ENSG00000185633
RENAL,SLC22A12,ENSG00000197891
RENAL,KCNJ1,ENSG00000151704
RENAL,AMACR,ENSG00000242110
GLIAL,GFAP,ENSG00000131095
GLIAL,OLIG2,ENSG00000205927
GLIAL,AQP4,ENSG00000171885
GLIAL,ALDH1L1,ENSG00000144908
GLIAL,SLC1A3,ENSG00000079215
GLIAL,SOX2,ENSG00000181449
MELANOCYTIC,MLANA,ENSG00000120215
MELANOCYTIC,PMEL,ENSG00000185664
MELANOCYTIC,TYR,ENSG00000077498
