contrast,type_a,type_b,favors,Symbol,Ensembl_Gene_ID,direction,tier,separability,source,support_type,source_anchor
LUAD_vs_LUSC,LUAD,LUSC,LUAD,NKX2-1,ENSG00000136352,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUAD,NAPSA,ENSG00000131400,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUAD,SFTPC,ENSG00000168484,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUAD,SFTPB,ENSG00000168878,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUSC,TP63,ENSG00000073282,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUSC,KRT5,ENSG00000186081,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUSC,KRT6A,ENSG00000205420,high,primary,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUSC,DSG3,ENSG00000134757,high,supporting,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_LUSC,LUAD,LUSC,LUSC,SOX2,ENSG00000181449,high,supporting,strong,PMID:22960745,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,LUAD,NKX2-1,ENSG00000136352,high,primary,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,LUAD,NAPSA,ENSG00000131400,high,primary,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,LUAD,CEACAM5,ENSG00000105388,high,supporting,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,LUAD,EPCAM,ENSG00000119888,high,supporting,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,LUAD,CLDN4,ENSG00000189143,high,supporting,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,MESO,WT1,ENSG00000184937,high,primary,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,MESO,CALB2,ENSG00000172137,high,primary,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,MESO,MSLN,ENSG00000102854,high,supporting,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,MESO,PDPN,ENSG00000162493,high,supporting,good,PMID:25613900,contrast_marker_literature,
LUAD_vs_MESO,LUAD,MESO,MESO,KRT5,ENSG00000186081,high,supporting,good,PMID:25613900,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,ASCL1,ENSG00000139352,high,primary,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,INSM1,ENSG00000173404,high,primary,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,CHGA,ENSG00000100604,high,supporting,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,SYP,ENSG00000102003,high,supporting,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,NCAM1,ENSG00000149294,high,supporting,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,SCLC,NEUROD1,ENSG00000162992,high,supporting,good,PMID:26168399,contrast_marker_literature,
SCLC_vs_LUAD,SCLC,LUAD,LUAD,NAPSA,ENSG00000131400,high,primary,good,PMID:25079552,contrast_marker_literature,LUAD-side marker support
SCLC_vs_LUAD,SCLC,LUAD,LUAD,SFTPC,ENSG00000168484,high,primary,good,PMID:25079552,contrast_marker_literature,LUAD-side marker support
SCLC_vs_LUAD,SCLC,LUAD,LUAD,SFTPB,ENSG00000168878,high,supporting,good,PMID:25079552,contrast_marker_literature,LUAD-side marker support
SCLC_vs_LUAD,SCLC,LUAD,LUAD,CLDN4,ENSG00000189143,high,supporting,good,PMID:25079552,contrast_marker_literature,LUAD-side marker support
LIHC_vs_CHOL,LIHC,CHOL,LIHC,ALB,ENSG00000163631,high,primary,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,LIHC,ARG1,ENSG00000118520,high,primary,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,LIHC,GPC3,ENSG00000147257,high,primary,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,LIHC,HNF4A,ENSG00000101076,high,supporting,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,LIHC,CPS1,ENSG00000021826,high,supporting,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,LIHC,FGA,ENSG00000171560,high,supporting,good,PMID:28622513,contrast_marker_literature,
LIHC_vs_CHOL,LIHC,CHOL,CHOL,KRT7,ENSG00000135480,high,primary,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
LIHC_vs_CHOL,LIHC,CHOL,CHOL,KRT19,ENSG00000171345,high,primary,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
LIHC_vs_CHOL,LIHC,CHOL,CHOL,MUC1,ENSG00000185499,high,supporting,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
LIHC_vs_CHOL,LIHC,CHOL,CHOL,EPCAM,ENSG00000119888,high,supporting,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
LIHC_vs_CHOL,LIHC,CHOL,CHOL,SPP1,ENSG00000118785,high,supporting,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
LIHC_vs_CHOL,LIHC,CHOL,CHOL,S100P,ENSG00000163993,high,supporting,good,PMID:28622513,expression_derived_rule_needs_chol_anchor,CHOL-side markers retained as expression-derived rule pending cholangiocarcinoma marker source
CRC_vs_STAD,CRC,STAD,CRC,SATB2,ENSG00000119042,high,primary,strong,PMID:22810696,contrast_marker_literature,
CRC_vs_STAD,CRC,STAD,CRC,CDX2,ENSG00000165556,high,primary,strong,PMID:22810696,contrast_marker_literature,
CRC_vs_STAD,CRC,STAD,CRC,CDH17,ENSG00000079112,high,supporting,strong,PMID:22810696,contrast_marker_literature,
CRC_vs_STAD,CRC,STAD,CRC,GUCY2C,ENSG00000070019,high,supporting,strong,PMID:22810696,contrast_marker_literature,
CRC_vs_STAD,CRC,STAD,CRC,KRT20,ENSG00000171431,high,supporting,strong,PMID:22810696,contrast_marker_literature,
