cohort_id,prefix,kind,source_project,assay,n_samples,n_codes,is_computed,member_cohorts,provenance
BEATAML_OHSU_2022,BEATAML,beataml,BeatAML (OHSU),bulk RNA-seq,601,4,False,,"GDC STAR-Counts, GENCODE v36; Ensembl IDs harmonized to release 112"
CGCI_BLGSP,CGCI,cgci,CGCI,bulk RNA-seq,184,1,False,,"GDC STAR - Counts, GENCODE v36; Ensembl IDs harmonized to Ensembl release 112; queried 2026-05-19"
CLLMAP_2022,CLLMAP,cllmap,CLL-map,bulk RNA-seq,708,1,False,,CLL-map RNA-SeQC v2.3.6 GENCODE19; Ensembl IDs harmonized to Ensembl release 112; downloaded 2026-05-18
COMPUTED_COLORECTAL,COMPUTED,computed,Computed aggregate,computed-aggregate,0,2,True,COAD;READ,colorectal union of COAD+READ (rectum curated as colorectal)
COMPUTED_PAN_SARCOMA,COMPUTED,computed,Computed aggregate,computed-aggregate,0,41,True,SARC_LMS;SARC_DDLPS;SARC_WDLPS;SARC_MYXLPS;SARC_SYN;SARC_DSRCT;SARC_GIST;SARC_MPNST;SARC_MMNST;SARC_ANGIO;SARC_UPS;SARC_OS;SARC_EWS;SARC_CHON;SARC_CHOR;SARC_RMS_ERMS;SARC_RMS_ARMS;SARC_EPITH;SARC_DFSP;SARC_ASPS;SARC_CCS;SARC_IFS;SARC_EHE;SARC_PEC;SARC_KS;SARC_MYXFIB;SARC_SFT;SARC_IMT;SARC_GCTB;SARC_ESS_LG;SARC_ESS_HG;SARC_LGFMS;SARC_EMC;SARC_PLEOLPS;SARC_RMS_PRMS;SARC_RMS_SSRMS;SARC_LPS_UNSPEC;SARC_CIC;SARC_BCOR;SARC_MYOEP;SARC_SMARCA4,pan-sarcoma grand union of all SARC_* histology atoms
LITERATURE_CURATED,LITERATURE,curated,Literature-curated,literature-curated,0,0,False,,registry entry without a built expression matrix
DRMETRICS_ALCALA_2019_LNEN,DRMETRICS,geo,GEO (DR-metrics / Alcala LNEN),bulk RNA-seq,187,2,False,,DRMetrics LNEN (Alcala 2019 / Gabriel 2020); raw counts length-normalized to TPM with Ensembl release 112 gene lengths; histology routed via Attributes.txt Histopathology_simplified.
GSE100026_DING_2017,GSE100026,geo,GEO,bulk RNA-seq,5,1,False,,GSE100026 GSE100026_expressed_gene_RPKM.txt.gz; Ensembl IDs harmonized to Ensembl release 112; downloaded 2026-05-19
GSE114922_SHIOZAWA_2018,GSE114922,geo,GEO,bulk RNA-seq,82,1,False,,recount3 SRP149374 gene_sums (Gencode v26 coverage) → exonic-length-normalized TPM → per-sample sum-to-1e6 → tech-RNA zero; routed from recount3 sample attributes.
GSE118014_ALVAREZ_2018,GSE118014,geo,GEO,bulk RNA-seq,33,1,False,,recount3 SRP156049 gene_sums (Gencode v26 coverage) → exonic-length-normalized TPM → per-sample sum-to-1e6 → tech-RNA zero; routed from recount3 sample attributes.
GSE120328_LAMPRECHT_2018,GSE120328,geo,GEO,bulk RNA-seq,5,1,False,,recount3 SRP162356 gene_sums (Gencode v26 coverage) → exonic-length-normalized TPM → per-sample sum-to-1e6 → tech-RNA zero; routed from recount3 sample attributes.
GSE142334_FL_TFL_2021,GSE142334,geo,GEO,bulk RNA-seq,6,1,False,,PMID 33569544 (FL/tFL paired bulk RNA-seq); gene-id-type=ensembl; unit=raw_counts; harmonized to Ensembl release 112
GSE171811_ECCITE_CTCL,GSE171811,geo,GEO,bulk RNA-seq,7,1,False,,GSE171811 ECCITE-seq GEX/TCR beta matrices; dominant disease TCR beta clonotype pseudobulked per case; symbols harmonized to Ensembl release 112; downloaded 2026-05-20
GSE235092_MERKEL_2024,GSE235092,geo,GEO,bulk RNA-seq,91,1,False,,GSE235092 (Merkel cell carcinoma bulk RNA-seq panel); gene-id-type=symbol; unit=raw_counts; harmonized to Ensembl release 112
GSE239531_VANOOST_2024,GSE239531,geo,GEO,bulk RNA-seq,20,1,False,,"GSE239531 (van Oost 2024, chordoma; PMID 38272563) raw counts; length-normalized to TPM with Ensembl release 112 gene lengths; downloaded from GEO supplementary"
GSE241095_KS_SKIN_2023,GSE241095,geo,GEO,bulk RNA-seq,10,1,False,,"PMID 37740179 (Kaposi sarcoma skin lesions, Lidenge 2023); gene-id-type=ensembl; unit=TPM; harmonized to Ensembl release 112"
GSE248751_HUMAN_CCS_2023,GSE248751,geo,GEO,bulk RNA-seq,5,1,False,,PMID 38136296 (Clear Cell Sarcoma frozen primary RNA-seq); gene-id-type=ensembl; unit=raw_counts; harmonized to Ensembl release 112
GSE271664_BODOR_2025,GSE271664,geo,GEO,bulk RNA-seq,51,1,False,,GSE271664 GSE271664_HTSeq_counts.csv.gz; Ensembl IDs harmonized to Ensembl release 112; downloaded 2026-05-19
GSE283710_WASHU_2024,GSE283710,geo,GEO,bulk RNA-seq,45,1,False,,GSE283710 GSE283710_CD34_rawcounts.csv.gz; Ensembl IDs harmonized to Ensembl release 112; downloaded 2026-05-19
GSE294016_BARTL_2025_SGC,GSE294016,geo,GEO,bulk RNA-seq,95,1,False,,PMID 40506428 (Bartl 2025 mixed salivary gland cancer panel); source TPM has 95 sample rows / 93 patients; the current one-code artifact is quarantined because it mislabeled every histology as ADCC; authoritative split and rebuild tracked in oncoref#422
GSE299759_MEIJER_2026,GSE299759,geo,GEO,bulk RNA-seq,54,1,False,,"GSE299759 (Meijer 2026, chondrosarcoma) raw counts; length-normalized to TPM with Ensembl release 112 gene lengths; downloaded from GEO supplementary"
GSE30929_SINGER_2007_LPS,GSE30929,geo,GEO,microarray,140,4,False,,GPL96 microarray; series_matrix log2 intensity → probe-max → anti-log2 → per-sample sum-to-1e6 (TPM proxy); HUGO harmonized to Ensembl release 112
GSE32662_PRINGLE_2012_MTC,GSE32662,geo,GEO,microarray,52,1,False,,GPL6480 microarray; series_matrix log2 intensity → probe-max → anti-log2 → per-sample sum-to-1e6 (TPM proxy); HUGO harmonized to Ensembl release 112
GSE328026_PECOMA_2026,GSE328026,geo,GEO,bulk RNA-seq,69,1,False,,"GSE328026 (PEComa TPMs, public Apr 2026); gene-id-type=hugo; unit=TPM; harmonized to Ensembl release 112"
GSE75885_DELESPAUL_2017,GSE75885,geo,GEO,bulk RNA-seq,25,3,False,,GSE75885 (Delespaul 2017) RNA-seq processed expression (GSE75885_Expression_117_sarcomas.tsv.gz; Illumina HiSeq 2000); RPKM-like per-sample renormalized to 1e6 (TPM); HUGO symbols harmonized to Ensembl release 112
GSE98894_ALVAREZ_2018_NET,GSE98894,geo,GEO,bulk RNA-seq,212,3,False,,recount3 SRP107025 gene_sums (Gencode v26 coverage) → exonic-length-normalized TPM → per-sample sum-to-1e6 → tech-RNA zero; routed from recount3 sample attributes.
MMRF_COMMPASS,MMRF,mmrf,MMRF CoMMpass,bulk RNA-seq,764,1,False,,"GDC STAR - Counts, GENCODE v36; Ensembl IDs harmonized to Ensembl release 112; queried 2026-05-18"
TARGET_ALL_2018,TARGET,target,TARGET,bulk RNA-seq,418,2,False,,"GDC STAR - Counts, GENCODE v36; TARGET ALL Phase 1/2 sample matrices 2019-06-06; Ensembl IDs harmonized to Ensembl release 112; queried 2026-05-19"
TARGET_NBL_2018,TARGET,target,TARGET,bulk RNA-seq,310,3,False,,"GDC STAR-Counts, GENCODE v36; Ensembl IDs harmonized to release 112"
