cancer_code,representative_id,source_cohort,source_project,n_cohort_samples,cluster_rank
ACC,ACC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,77,1
ACC,ACC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,77,2
ACC,ACC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,77,3
ACC,ACC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,77,4
ACC,ACC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,77,5
ATRT,ATRT_rep01,TREEHOUSE_POLYA_25_01,Treehouse,4,1
ATRT,ATRT_rep02,TREEHOUSE_POLYA_25_01,Treehouse,4,2
ATRT,ATRT_rep03,TREEHOUSE_POLYA_25_01,Treehouse,4,3
ATRT,ATRT_rep04,TREEHOUSE_POLYA_25_01,Treehouse,4,4
BLCA,BLCA_rep01,TREEHOUSE_POLYA_25_01,Treehouse,407,1
BLCA,BLCA_rep02,TREEHOUSE_POLYA_25_01,Treehouse,407,2
BLCA,BLCA_rep03,TREEHOUSE_POLYA_25_01,Treehouse,407,3
BLCA,BLCA_rep04,TREEHOUSE_POLYA_25_01,Treehouse,407,4
BLCA,BLCA_rep05,TREEHOUSE_POLYA_25_01,Treehouse,407,5
BRCA,BRCA_rep01,TREEHOUSE_POLYA_25_01,Treehouse,1099,1
BRCA,BRCA_rep02,TREEHOUSE_POLYA_25_01,Treehouse,1099,2
BRCA,BRCA_rep03,TREEHOUSE_POLYA_25_01,Treehouse,1099,3
BRCA,BRCA_rep04,TREEHOUSE_POLYA_25_01,Treehouse,1099,4
BRCA,BRCA_rep05,TREEHOUSE_POLYA_25_01,Treehouse,1099,5
BRCA_Basal,BRCA_Basal_rep01,TREEHOUSE_POLYA_25_01,Treehouse,172,1
BRCA_Basal,BRCA_Basal_rep02,TREEHOUSE_POLYA_25_01,Treehouse,172,2
BRCA_Basal,BRCA_Basal_rep03,TREEHOUSE_POLYA_25_01,Treehouse,172,3
BRCA_Basal,BRCA_Basal_rep04,TREEHOUSE_POLYA_25_01,Treehouse,172,4
BRCA_Basal,BRCA_Basal_rep05,TREEHOUSE_POLYA_25_01,Treehouse,172,5
BRCA_HER2,BRCA_HER2_rep01,TREEHOUSE_POLYA_25_01,Treehouse,77,1
BRCA_HER2,BRCA_HER2_rep02,TREEHOUSE_POLYA_25_01,Treehouse,77,2
BRCA_HER2,BRCA_HER2_rep03,TREEHOUSE_POLYA_25_01,Treehouse,77,3
BRCA_HER2,BRCA_HER2_rep04,TREEHOUSE_POLYA_25_01,Treehouse,77,4
BRCA_HER2,BRCA_HER2_rep05,TREEHOUSE_POLYA_25_01,Treehouse,77,5
BRCA_LumA,BRCA_LumA_rep01,TREEHOUSE_POLYA_25_01,Treehouse,501,1
BRCA_LumA,BRCA_LumA_rep02,TREEHOUSE_POLYA_25_01,Treehouse,501,2
BRCA_LumA,BRCA_LumA_rep03,TREEHOUSE_POLYA_25_01,Treehouse,501,3
BRCA_LumA,BRCA_LumA_rep04,TREEHOUSE_POLYA_25_01,Treehouse,501,4
BRCA_LumA,BRCA_LumA_rep05,TREEHOUSE_POLYA_25_01,Treehouse,501,5
BRCA_LumB,BRCA_LumB_rep01,TREEHOUSE_POLYA_25_01,Treehouse,199,1
BRCA_LumB,BRCA_LumB_rep02,TREEHOUSE_POLYA_25_01,Treehouse,199,2
BRCA_LumB,BRCA_LumB_rep03,TREEHOUSE_POLYA_25_01,Treehouse,199,3
BRCA_LumB,BRCA_LumB_rep04,TREEHOUSE_POLYA_25_01,Treehouse,199,4
BRCA_LumB,BRCA_LumB_rep05,TREEHOUSE_POLYA_25_01,Treehouse,199,5
BRCA_Normal,BRCA_Normal_rep01,TREEHOUSE_POLYA_25_01,Treehouse,35,1
BRCA_Normal,BRCA_Normal_rep02,TREEHOUSE_POLYA_25_01,Treehouse,35,2
BRCA_Normal,BRCA_Normal_rep03,TREEHOUSE_POLYA_25_01,Treehouse,35,3
BRCA_Normal,BRCA_Normal_rep04,TREEHOUSE_POLYA_25_01,Treehouse,35,4
BRCA_Normal,BRCA_Normal_rep05,TREEHOUSE_POLYA_25_01,Treehouse,35,5
CESC,CESC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,306,1
CESC,CESC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,306,2
CESC,CESC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,306,3
CESC,CESC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,306,4
CESC,CESC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,306,5
CHOL,CHOL_rep01,TREEHOUSE_POLYA_25_01,Treehouse,36,1
CHOL,CHOL_rep02,TREEHOUSE_POLYA_25_01,Treehouse,36,2
CHOL,CHOL_rep03,TREEHOUSE_POLYA_25_01,Treehouse,36,3
CHOL,CHOL_rep04,TREEHOUSE_POLYA_25_01,Treehouse,36,4
CHOL,CHOL_rep05,TREEHOUSE_POLYA_25_01,Treehouse,36,5
COAD,COAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,290,1
COAD,COAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,290,2
COAD,COAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,290,3
COAD,COAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,290,4
COAD,COAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,290,5
